id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20815,The Bosphorus from The Comfy Hill,78838,Gülder,,Besiktas,41.06976,29.04379,Entire home/apt,973,365,41,2018-11-07,0.31,2,363
27271,Lovely apartment in perfect location,117026,Mutlu,,Beyoglu,41.03254,28.98153,Entire home/apt,286,30,2,2018-05-04,0.03,1,303
27831,"Large, clean, spacious apartment",120067,Defne,,Sisli,41.06777,29.00337,Entire home/apt,726,1,0,,,1,364
28277,Duplex Apartment 11 with Terrace,121607,Alen,,Sisli,41.04672,28.98402,Entire home/apt,576,14,0,,,14,331
28318,Cosy home overlooking Bosphorus,121721,Aydin,,Sariyer,41.09104,29.0558,Entire home/apt,1014,3,0,,,1,88
29241,"↪ Istanbul, Your second house",125742,Şevki,,Beyoglu,41.04803,28.95227,Private room,405,3,0,,,1,365
30697,nice home in popular area,132137,Nan,,Beyoglu,41.03213,28.978,Private room,977,1,1,2010-06-14,0.01,1,365
33368,Deluxe double bedroom @ Nisantasi,135136,Ozlem,,Sisli,41.05376,28.99876,Private room,514,2,1,2014-10-21,0.01,2,364
34925,A room in galata beyoglu,150435,Esr,,Beyoglu,41.02694,28.97628,Private room,563,1,0,,,1,364
35580,Sea View terrace  House,153032,Michel,,Beyoglu,41.0347,28.97369,Entire home/apt,293,30,38,2020-02-03,0.43,3,334
35938,Cosy Room in Istanbul Center,154245,Sinan,,Sisli,41.04962,28.99846,Private room,609,1,0,,,1,365
41753,Örücü Palace / Princess Apartment,182639,Mehmet Ali,,Beyoglu,41.02907,28.97794,Entire home/apt,567,5,46,2017-05-21,0.36,7,181
42246,Room on a Hill - quiet and comfy,184607,Mina,,Besiktas,41.06429,29.03945,Entire home/apt,573,3,46,2016-11-07,0.38,1,337
44421,Beautiful Studio With A View,194194,Zeyno,,Beyoglu,41.02942,28.98154,Private room,903,180,86,2015-10-06,0.67,2,79
44429,"Cozy, central, lovely&check out the bathroom!*",194194,Zeyno,,Beyoglu,41.03084,28.97986,Entire home/apt,336,5,24,2021-03-14,0.75,2,65
47264,Kurucesme stunning seaview peacfull Flat,213410,,,Besiktas,41.06464,29.0358,Entire home/apt,446,30,9,2019-09-02,0.07,7,153
47377,Double Room in Taksim,214374,Bertan Kemal,,Beyoglu,41.0337,28.99039,Private room,406,3,0,,,1,365
48346,Charming Apartment in Kuzguncuk,220212,Yesim,,Uskudar,41.03258,29.03239,Entire home/apt,573,3,15,2021-02-14,0.14,2,334
49955,A room with a view of Bosphorous.,228352,Oz,,Fatih,41.01717,28.96325,Private room,477,1,0,,,1,0
52828,Prince(Garden Apart),182639,Mehmet Ali,,Beyoglu,41.0269,28.97924,Entire home/apt,576,5,27,2017-03-14,0.22,7,180
58441,Private  studio bestlocation@Taksim,279673,Engin,,Beyoglu,41.03728,28.98414,Entire home/apt,292,28,16,2016-12-31,0.15,3,364
62172,Central Location Taksim/Cihangir,302361,Nurten,,Beyoglu,41.03442,28.98561,Private room,763,3,0,,,3,0
62817,Quiet room in central apartment,305202,Oksan,,Beyoglu,41.03638,28.9909,Private room,359,2,74,2018-08-22,0.62,1,364
77190,flat with garden'n' terrace taksim,413150,Baris,,Beyoglu,41.03411,28.98973,Entire home/apt,257,5,33,2018-08-16,0.28,2,365
77292,3 Bedroom Apartment with Terrace Bosphorus View,414003,,,Beyoglu,41.03583,28.98989,Entire home/apt,955,3,2,2020-08-29,0.26,10,289
101397,❛Cozy • Clean • Central • Room❜,531367,Guliz,,Beyoglu,41.02937,28.98044,Private room,136,2,68,2020-01-02,0.58,1,363
108537,Cihangir Connection,561692,Hasan,,Beyoglu,41.02945,28.98253,Entire home/apt,438,2,3,2018-04-11,0.07,1,365
114786,Blue Mosque View in Sultanahmet,582060,Fernando,,Fatih,41.0063,28.97916,Entire home/apt,809,2,82,2021-03-17,0.74,13,317
124137,Beautiful Artist's home staycation,594053,Dev,,Beyoglu,41.03451,28.98654,Entire home/apt,417,3,44,2021-03-20,0.47,2,245
127912,"View, Kid-friendly, Central @Taksim",632856,Secil,,Beyoglu,41.03625,28.99129,Entire home/apt,403,4,28,2019-09-19,0.27,1,353
130225,Room in a modern home.,641487,Efe,,Kadikoy,40.97618,29.04442,Private room,415,1,1,2012-08-04,0.01,1,0
130231,Flat with super Golden Horn view,641504,Chris,,Beyoglu,41.03631,28.97438,Entire home/apt,316,3,27,2020-08-05,0.23,1,51
133148,Eveything you need - as you wish,654031,Nurhan,,Kagithane,41.06517,28.95571,Entire home/apt,1214,2,0,,,1,365
135858,"En-suite, city view, near center",665735,Kemal,,Beyoglu,41.04156,28.97527,Private room,2442,5,15,2012-10-09,0.13,2,364
135956,Private room in shared flat-for ONLY female guests,666066,Ali,,Beyoglu,41.02984,28.97569,Private room,115,60,29,2020-11-20,0.25,8,255
136818,warm family place ..,669517,Cengiz,,Kadikoy,40.98242,29.05151,Private room,526,1,0,,,1,0
138394,Entire Flat at Cihangir/Taksim,675641,Juliet,,Beyoglu,41.03282,28.98537,Entire home/apt,971,1,0,,,1,0
139804,Entire house in central Kadikoy,681763,Deniz,,Kadikoy,40.98574,29.02851,Entire home/apt,406,4,8,2019-12-21,0.07,1,0
140269,Penthouse in Taxim -with 2 bedrooms,683356,Damir,,Beyoglu,41.03703,28.97592,Entire home/apt,438,3,129,2019-03-01,1.09,3,62
140952,(-55%)28nts in may 300€:Best LocationDuplex@Taksim,279673,Engin,,Beyoglu,41.03759,28.98208,Entire home/apt,429,15,8,2017-01-10,0.10,3,365
146854,Beautiful & Super Deluxe Flat,709964,Lily,,Sisli,41.04786,28.98086,Private room,490,1,0,,,1,365
158461,Friendly Family Home,760827,Enathol,,Adalar,40.87171,29.1291,Private room,809,1,0,,,1,0
158618,King Suite Studio  Near Taksim Square,730566,Murat,,Beyoglu,41.0383,28.98227,Private room,528,1,0,,,3,365
160809,"""Homeinİstanbul"" wGreat Location",770100,Neslihan,,Beyoglu,41.03358,28.98907,Entire home/apt,490,3,13,2015-10-06,0.11,2,173
162180,Nice flat in historical Galata,775317,Cigdem,,Beyoglu,41.02778,28.97628,Entire home/apt,1142,6,1,2011-09-25,0.01,1,365
164216,Ottoman Flat 2BR @Taksim Square,783470,Aslinaz,,Beyoglu,41.03757,28.98327,Entire home/apt,913,2,36,2019-06-13,0.32,3,362
166265,Apartment in the Heart of the City1,792658,ISlK,,Beyoglu,41.03919,28.98266,Entire home/apt,269,3,152,2021-03-10,1.56,9,355
168404,Charming Apt City Center Taksim,802569,Maria,,Beyoglu,41.03233,28.98856,Entire home/apt,963,2,134,2018-04-30,1.15,3,364
169106,Kiptas Seyrantepe Residence Flat,805693,Koray,,Maltepe,40.9476,29.16943,Entire home/apt,859,3,0,,,1,365
170150,Lovely Gardened House 10 minutes walking to metro,810759,Tuna,,Uskudar,41.01713,29.06957,Entire home/apt,405,30,87,2021-02-04,0.76,2,332
171593,Nice historical apartment in Galata,818744,Fırat,,Beyoglu,41.02566,28.97881,Entire home/apt,1217,7,3,2012-01-07,0.03,1,365
175766,at the center of İstanbul..,840111,Kadir,,Sisli,41.07005,28.98561,Private room,249,1,0,,,1,0
178868,"Bright Room, Great Location...",770100,Neslihan,,Beyoglu,41.03323,28.98896,Private room,207,2,38,2015-12-31,0.32,2,268
191058,Room with balcony in shared flat-for female guests,666066,Ali,,Beyoglu,41.0281,28.97585,Private room,146,20,26,2020-07-18,0.25,8,121
191069,Private room in shared flat-for ONLY female guests,666066,Ali,,Beyoglu,41.02797,28.97626,Private room,115,16,24,2020-11-02,0.22,8,93
197991,Nice room with balcony,907770,Tuğba,,Uskudar,41.0164,29.01527,Private room,229,1,0,,,1,0
199068,"Luxurious, specially designed...!",972196,Taskin,,Esenyurt,41.02719,28.68328,Private room,812,1,0,,,1,365
199411,08JAN-29MAR/WINTER SUPER DISCOUNT,973997,Shinnosuke,,Beyoglu,41.02812,28.97732,Entire home/apt,288,3,102,2021-02-28,0.88,1,362
204518,Lovely and Cozy Flat at Cihangir,1004513,Defne,,Beyoglu,41.02909,28.98305,Entire home/apt,391,14,2,2011-09-22,0.02,2,365
